iter	Passed	Remaining
419	2236	3089
420	2239	3080
421	2241	3069
422	2244	3061
423	2249	3055
424	2252	3046
425	2252	3035
426	2254	3025
427	2256	3015
428	2258	3006
429	2260	2996
430	2262	2987
431	2264	2977
432	2266	2968
433	2270	2961
434	2273	2953
435	2277	2945
436	2279	2936
437	2283	2930
438	2287	2922
439	2290	2914
440	2292	2905
441	2294	2896
442	2297	2888
443	2298	2878
444	2302	2871
445	2304	2862
446	2308	2855
447	2310	2846
448	2311	2837
449	2313	2827
450	2318	2821
451	2323	2817
452	2329	2812
453	2334	2807
454	2337	2800
455	2340	2792
456	2342	2782
457	2344	2774
458	2349	2769
459	2353	2763
460	2355	2753
461	2358	2746
462	2363	2741
463	2365	2732
464	2367	2723
465	2372	2718
466	2375	2711
467	2381	2706
468	2382	2697
469	2384	2689
470	2387	2681
471	2390	2673
472	2392	2666
473	2394	2657
474	2397	2649
475	2401	2643
476	2404	2636
477	2408	2630
478	2410	2622
479	2414	2615
480	2417	2608
481	2419	2600
482	2422	2593
483	2424	2585
484	2426	2576
485	2429	2569
486	2432	2561
487	2435	2555
488	2439	2549
489	2441	2541
490	2444	2533
491	2447	2526
492	2449	2519
493	2452	2512
494	2456	2505
495	2460	2500
496	2464	2494
497	2469	2489
498	2474	2484
499	2477	2477
500	2481	2471
501	2484	2464
502	2486	2456
503	2489	2450
504	2492	2442
505	2495	2435
506	2499	2430
507	2505	2426
508	2507	2418
509	2509	2411
510	2516	2407
511	2519	2401
512	2523	2395
513	2525	2388
514	2532	2385
515	2538	2381
516	2543	2375
517	2546	2369
518	2548	2362
519	2550	2354
520	2553	2347
521	2556	2340
522	2558	2333
523	2565	2330
524	2570	2325
525	2572	2318
526	2575	2311
527	2578	2304
528	2580	2297
529	2584	2291
530	2588	2286
531	2590	2279
532	2595	2274
533	2600	2269
534	2603	2262
535	2604	2254
536	2608	2248
537	2611	2242
538	2614	2236
539	2617	2229
540	2620	2223
541	2622	2216
542	2628	2211
543	2631	2205
544	2636	2201
545	2639	2194
546	2643	2189
547	2644	2181
548	2646	2174
549	2649	2167
550	2651	2160
551	2653	2153
552	2656	2147
553	2662	2143
554	2665	2137
555	2669	2131
556	2672	2125
557	2675	2119
558	2680	2114
559	2681	2106
560	2683	2100
561	2686	2093
562	2689	2087
563	2692	2081
564	2696	2076
565	2700	2070
566	2704	2065
567	2708	2059
568	2710	2053
569	2711	2045
570	2713	2038
571	2718	2034
572	2721	2027
